Sel binaire	MX	FeF3	FeF_{3}	fluorure de fer(III)	113	0,091
Sel ternaire	MXO	CaCrO4	CaCrO{_4}	chromate de calcium	156	2,25
Sel ternaire	MXO	Na2SO4	Na_{2}SO{_4}	sulfate de sodium	110	19,5
Sel binaire	MX	ZnF2	ZnF_{2}	fluorure de zinc(II)	103	1,6
Base	MOH	Li(OH)	LiOH	hydroxyde de lithium	24	12,3
Base	MOH	Ca(OH)2	Ca(OH)_{2}	hydroxyde de calcium	74	0,173
Base	MOH	Na(OH)	NaOH	hydroxyde de sodium	40	109
Sel ternaire	MXO	Co(ClO3)2	Co(ClO{_3})_{2}	chlorate de cobalt(II)	225	180
Sel ternaire	MXO	KIO3	KIO{_3}	iodate de potassium	214	8,08
Sel binaire	MX	CoF2	CoF_{2}	fluorure de cobalt(II)	97	1,36
Sel binaire	MX	NiCl2	NiCl_{2}	chlorure de nickel(II)	129	66,8
Sel binaire	MX	SrBr2	SrBr_{2}	bromure de strontium	248	102
Sel binaire	MX	PbI2	PbI_{2}	iodure de plomb(II)	461	0,069
Sel binaire	MX	PbF2	PbF_{2}	fluorure de plomb(II)	245	0,04634
Sel ternaire	MXO	BeSO4	BeSO{_4}	sulfate de béryllium	73	39,1
Sel binaire	MX	NaF	NaF	fluorure de sodium	42	4,06
Sel ternaire	MXO	LiBrO3	LiBrO{_3}	bromate de lithium	135	179
Sel ternaire	MXO	Ni(NO3)2	Ni(NO{_3})_{2}	nitrate de nickel(II)	183	94,2
Sel binaire	MX	NaCl	NaCl	chlorure de sodium	58	35,9
Sel ternaire	MXO	MnSO4	MnSO{_4}	sulfate de manganèse(II)	119	62,9
Sel binaire	MX	LiI	LiI	iodure de lithium	134	165
Sel binaire	MX	SrI2	SrI_{2}	iodure de strontium	342	178
Sel ternaire	MXO	Tl2SO4	Tl_{2}SO{_4}	sulfate de thallium(I)	472	4,87
Sel ternaire	MXO	Na3PO4	Na_{3}PO{_4}	phosphate de sodium	164	12,1
Sel ternaire	MXO	KMnO4	KMnO{_4}	permanganate de potassium	158	6,34
Sel binaire	MX	SrCl2	SrCl_{2}	chlorure de strontium	158	52,9
Sel binaire	MX	LiBr	LiBr	bromure de lithium	87	160
Oxyde métallique	MO	BaO	BaO	oxyde de baryum	153	3,48
Sel ternaire	MXO	NaNO2	NaNO{_2}	nitrite de sodium	69	80,8
Sel ternaire	MXO	Cd(BrO3)2	Cd(BrO{_3})_{2}	bromate de cadmium(II)	368	125
Sel ternaire	MXO	Ba(NO3)2	Ba(NO{_3})_{2}	nitrate de baryum	261	9,02
Sel ternaire	MXO	CsMnO4	CsMnO{_4}	permanganate de césium	252	0,228
Sel ternaire	MXO	RbNO3	RbNO{_3}	nitrate de rubidium	147	52,9
Sel binaire	MX	CdBr2	CdBr_{2}	bromure de cadmium(II)	272	98,8
Sel binaire	MX	AlCl3	AlCl_{3}	chlorure d'aluminium	132	45,8
Sel ternaire	MXO	SrCrO4	SrCrO{_4}	chromate de strontium	204	0,085
Sel binaire	MX	MgCl2	MgCl_{2}	chlorure de magnésium	94	54,6
Sel binaire	MX	BaCl2	BaCl_{2}	chlorure de baryum	207	35,8
Sel ternaire	MXO	CuCrO4	CuCrO{_4}	chromate de cuivre(II)	180	0,03407
Sel ternaire	MXO	KBrO3	KBrO{_3}	bromate de potassium	167	6,91
Sel ternaire	MXO	Cd(ClO3)2	Cd(ClO{_3})_{2}	chlorate de cadmium(II)	278	322
Sel binaire	MX	CuBr2	CuBr_{2}	bromure de cuivre(II)	224	126
Sel binaire	MX	NiBr2	NiBr_{2}	bromure de nickel(II)	219	131
Sel binaire	MX	BeCl2	BeCl_{2}	chlorure de béryllium	79	42
Sel binaire	MX	MnF2	MnF_{2}	fluorure de manganèse(II)	93	10,6
Sel ternaire	MXO	SrSO4	SrSO{_4}	sulfate de strontium	152	0,0132
Sel ternaire	MXO	Cd(ClO4)2	Cd(ClO{_4})_{2}	perchlorate de cadmium(II)	310	188
Sel binaire	MX	NaI	NaI	iodure de sodium	150	178
Sel ternaire	MXO	Li2SO4	Li_{2}SO{_4}	sulfate de lithium	78	34,8
Sel binaire	MX	RbCl	RbCl	chlorure de rubidium	120	91
Sel ternaire	MXO	NaIO3	NaIO{_3}	iodate de sodium	198	8,08
Sel ternaire	MXO	NaClO3	NaClO{_3}	chlorate de sodium	106	95,9
Sel ternaire	MXO	Zn(ClO3)2	Zn(ClO{_3})_{2}	chlorate de zinc(II)	231	209
Sel ternaire	MXO	Rb2SO4	Rb_{2}SO{_4}	sulfate de rubidium	234	48,1
Sel binaire	MX	MgBr2	MgBr_{2}	bromure de magnésium	184	101
Sel ternaire	MXO	(NH4)3PO4	{NH_{4}}_{3}PO{_4}	phosphate d'ammonium	149	20,3
Sel ternaire	MXO	Ba(ClO3)2	Ba(ClO{_3})_{2}	chlorate de baryum	303	25,26
Sel binaire	MX	RbBr	RbBr	bromure de rubidium	165	108
Sel binaire	MX	NiI2	NiI_{2}	iodure de nickel(II)	313	148
Sel binaire	MX	CdCl2	CdCl_{2}	chlorure de cadmium(II)	182	135
Sel binaire	MX	NiF2	NiF_{2}	fluorure de nickel(II)	97	2,56
Sel binaire	MX	BaBr2	BaBr_{2}	bromure de baryum	297	104
Sel ternaire	MXO	K3PO4	K_{3}PO{_4}	phosphate de potassium	212	92,3
Sel ternaire	MXO	Ca(MnO4)2	Ca(MnO{_4})_{2}	permanganate de calcium	278	338
Sel binaire	MX	CdI2	CdI_{2}	iodure de cadmium(II)	366	84,7
Sel binaire	MX	CoBr2	CoBr_{2}	bromure de cobalt(II)	219	112
Sel binaire	MX	CoI2	CoI_{2}	iodure de cobalt(II)	313	203
Sel ternaire	MXO	RbIO3	RbIO{_3}	iodate de rubidium	260	1,96
Sel ternaire	MXO	Ca(ClO3)2	Ca(ClO{_3})_{2}	chlorate de calcium	206	209
Sel binaire	MX	HgCl2	HgCl_{2}	chlorure de mercure(II)	271	6,57
Sel ternaire	MXO	NaClO4	NaClO{_4}	perchlorate de sodium	122	201
Sel ternaire	MXO	Cs2SO4	Cs_{2}SO{_4}	sulfate de césium	330	179
Sel ternaire	MXO	TlIO3	TlIO{_3}	iodate de thallium(I)	379	0,06678
Sel binaire	MX	RbF	RbF	fluorure de rubidium	104	300
