Cyanure de thallium(I) 	TlCN 	16,8
Cyanure de zinc 	Zn(CN)2 	0,058
Dichromate d'ammonium 	(NH4)2Cr2O7 	35,6
Dichromate d'argent 	Ag2Cr2O7 	0,159
Dichromate de potassium 	K2Cr2O7 	12,3
Dichromate de rubidium 	Rb2Cr2O7 	5,9
Dichromate de sodium 	Na2Cr2O7 	183
Dioxyde de chrome(VI) 	CrO3 	63
Fluorure d'aluminium 	AlF3 	0,67
Fluorure d'antimoine 	SbF3 	444
Fluorure d'argent 	AgF 	172
Fluorure d'étain(II) 	SnF2 	30
Fluorure de baryum 	BaF2 	0,16
Fluorure de cadmium 	CdF2 	4
Fluorure de césium 	CsF 	322
Fluorure de cobalt(II) 	CoF2 	1,36
Fluorure de cuivre(II) 	CuF2 	0,075
Fluorure de fer(III) 	FeF3 	0,091
Fluorure de lithium 	LiF 	0,16
Fluorure de manganese(II) 	MnF2 	10,6
Fluorure de nickel(II) 	NiF2 	2,56
Fluorure de plomb(II) 	PbF2 	0,04634
Fluorure de potassium 	KF 	94,9
Fluorure de rubidium 	RbF 	300
Fluorure de sodium 	NaF 	4,06
Fluorure de thallium(I) 	TlF 	78
Fluorure de zinc 	ZnF2 	1,6
Fluorure de zirconium 	ZrF4 	1,32
Hydroxyde de calcium 	Ca(OH)2 	0,173
Hydroxyde de lithium 	LiOH 	12,3
Hydroxyde de potassium 	KOH 	112
Hydroxyde de rubidium 	RbOH 	180
Hydroxyde de sodium 	NaOH 	109
Hydroxyde de thallium(I) 	TlOH 	35
Iodate d'indium(III) 	In(IO3)3 	0,067
Iodate de baryum 	Ba(IO3)2 	0,035
Iodate de cadmium 	Cd(IO3)2 	0,097
Iodate de calcium 	Ca(IO3)2 	0,24
Iodate de cérium(III) 	Ce(IO3)3 	0,123
Iodate de césium 	CsIO3 	2,6
Iodate de fer(III) 	Fe(IO3)3 	0,36
Iodate de lanthane(III) 	La(IO3)3 	0,04575
Iodate de magnésium 	Mg(IO3)2 	8,6
Iodate de nickel(II) 	Ni(IO3)2 	0,062
Iodate de Plutonium(IV) 	Pu(IO3)4 	0,07998
Iodate de potassium 	KIO3 	8,08
Iodate de radium 	Ra(IO3)2 	0,04
Iodate de rubidium 	RbIO3 	1,96
Iodate de sodium 	NaIO3 	8,08
Iodate de strontium 	Sr(IO3)2 	0,19
Iodate de thallium(I) 	TlIO3 	0,06678
